word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
committee,noun,They organized a committee to solve the problem.,他們成立了一個委員會來解決這個問題。,委員會,board; commission,,com 表共同，mit 表送、放，-tee 表人或團體，可聯想為被派送到共同機構中的委員會。,181,,5
commonplace,adjective; noun,It is a commonplace topic; you should think of something novel. TV is now commonplace in that region.,那是普通話題，你應該想點有新意的東西。在這個地區，電視機已經是司空見慣的東西了。,平淡無味的；普通的；司空見慣的事；老生常談,banal; bromidic; banality,amazing,common 表普通，place 表地方，合起來引申為平凡常見、司空見慣。,181,,4
community,noun,He spent so much time on community service.,他花很多時間在社區服務上。,社區；共同體；公眾,district; society,,community 表共同生活或具有共同特徵的一群人。,181,,4
compensate,verb,Nothing can compensate for the loss of one's beloved.,沒有什麼能彌補失去一個人的摯愛。,補償；賠償,make up,,com 表一起，pens 表衡量、支付，合起來有補償、賠償之意。,181,,5
compete,verb,My writing cannot compete with hers.,我的寫作比不上她。,競爭；媲美；比得上,contend; contest,,com 表一起，pet 表追求，原意一起追求，引申為競爭、比賽。,181,,3
competitive,adjective,I have never come across any person as competitive as her.,我從沒見過像她那麼好競爭的人。,競爭的；好競爭的,emulous; rival,uncompetitive,由 compete 加 -itive 形成形容詞，表示競爭的、好競爭的。,181,,3
complex,adjective; noun,The situation becomes more and more complex. The girl has a complex about her appearance.,情況變得越來越複雜。那位女孩對自己的外表有自卑情結。,複雜的；難懂的；情結；複合體；集團,complicated; tangled; composite,brief; plain,com 表一起，plex 表編織，合起來表示交織在一起而複雜，也可指情結。,181,,4
comply,verb,You must comply with the library rules if you want to borrow books.,如果你要借書，就必須遵守圖書館的規章制度。,順從；答應；同意,obey; accede; follow,deny; defy; disobey,com 表完全，ply 表彎曲，可聯想為完全順著規則而順從。,182,,4
comprehensive,adjective,The professor has had a comprehensive grasp of the issue.,那位教授對該問題已全面掌握。,綜合的；全面的,all-round; ample,incomplete,來自 comprehend 表包括、理解，-sive 為形容詞字尾，引申為全面的。,182,,5
concave,adjective,What do you want a concave mirror for?,你要凹鏡幹什麼？,凹的；凹面的,hollow; sunken,convex,con 表一起，cave 可聯想洞穴，凹進去像洞穴般即 concave。,182,,4
concede,verb,I must concede that I did a wrong thing again.,我必須承認我又做了一件錯事。,承認；讓步；退讓,accept; yield,,con 表完全，cede 表走開，原意從立場完全走開，引申為承認、讓步。,182,,4
conclude,verb,He concluded nothing from these facts.,從這些事實，他沒推斷出任何東西。,結束；推斷；決定,close; end; finish,begin; commence,con 表完全，clud 表關閉，原意完全關閉，引申為結束或作出結論。,182,,3
concord,noun,"In concord with his opinion, we decided to set off tomorrow morning.",依照他的意見，我們決定明天早上出發。,和睦；協調；公約,harmony,discord,con 表共同，cord 表心，原意同心同德，引申為和睦、協調。,182,,4
condole,verb,His friends condoled with him on his wife's death.,朋友們為他妻子的逝世向他表示哀悼。,哀悼；同情,conciliate,object,condole 表與人共同悲痛，常用 condole with someone on something。,182,,5
conductor,noun,The bus conductor is a kind-hearted woman.,這位公車售票員是個好心的女人。,管理人；嚮導；售票員；列車員,director; executive,,con 表共同，duct 表引導，-or 表人，合起來指引導或管理的人。,182,,4
confer,verb,They conferred on an issue concerned by the public.,他們商討一個大眾關心的問題。,商談；商議；授予,confabulate; confab,,con 表共同，fer 表攜帶，可聯想為把意見帶到一起討論，或授予某物。,182,183,4
confide,verb,She never confides her worries to her friends.,她從來不向她的朋友吐露憂愁。,吐露；信託；信賴,entrust; commit,conceal,con 表完全，fid 表信任，合起來引申為信賴、吐露。,183,,3
confidential,adjective,He told the confidential information of the company to his friends.,他把公司的機密資訊透露給他的朋友。,秘密的；機密的,clandestine; secret,open,con 表完全，fid 表信任，-ial 形成形容詞，表示需要信任而保密的。,183,,4
confuse,verb,Don't speak to her for she is confused in mind right now.,別和她說話，她現在正心緒混亂著。,把…弄糊塗；使困惑,mix up; muddle,calm; compose,con 表一起，fus 表傾流，原意各種成分混流一起，引申為混淆、困惑。,183,,5
conglomerate,verb; noun; adjective,Thousands of fans conglomerated the super star. The conglomerate has taken over several smaller firms.,成千上萬的歌迷把巨星團團圍住。這家大企業已併購好幾家小公司。,凝聚成一團；使聚集；雜集；複合大企業；密集而團結的,accumulate; assortment; miscellaneous,,con 表一起，glomer 表球團，-ate 表動作或狀態，可聯想為聚成一團。,183,,4
conjure,verb,This film conjured up many memories in my childhood.,這部電影使我想起很多小時候的事。,喚起；使想起；變魔術,raise; evoke,,conjure up 常表示喚起記憶或使某事浮現。,183,,5
conscious,adjective,She was not conscious of her mistakes.,她沒有意識到自己的錯誤。,意識到的；有知覺的,aware,accidental,con 表完全，sci 表知道，-ous 表形容詞，合起來表示有知覺、意識到的。,183,,3
consensus,noun,"After 4 hours' meeting, they reached a consensus on the issue.",在四個小時的會議後，他們就該問題達成了共識。,一致；同意；輿論,accordance,,con 表共同，sens 表感覺，-us 名詞字尾，原意共同的感覺，引申為共識。,183,184,4
conservation,noun,Conservation of wildlife is of great significance to the balance of nature.,保護野生動植物對維護自然平衡至關重要。,保存；保護；管理,preservation,breach; breakage,con 表共同，serv 表保存，-ation 表行為，合起來表示保存、保護。,184,,5
consist,verb,Her greatest happiness consists of finding the one she truly loves.,她最大的幸福就在於找到她真正愛的人。,組成；構成；在於；存在於,comprise; include,separate,con 表共同，sist 表站立，原意站到一起，引申為組成、構成。,184,,4
constellation,noun,A constellation of famous film actors had come to the charity party.,一群知名電影明星參與這場慈善晚會。,星座；薈萃；群集,galaxy,,constellation 可指星群、星座，也可引申為一群傑出人物。,184,,4
constitute,verb,The commission constituted him manager.,委員會任命他為經理。,組成；構成；建立；任命,represent; make up,disintegrate,con 表共同，stitute 表建立、放，合起來有建立、組成之意。,184,,3
consult,verb,Consult your grandpa and he will give you a good idea.,請教你爺爺吧！他會給你一個好主意。,請教；磋商；查看；當顧問,confer with; refer,,consult 可表示請教、商量或查閱資料。,184,,3
consumer,noun,Their consumers are mainly young people.,他們的顧客主要是年輕人。,消費者；顧客,buyer; client,producer,consume 表消耗、消費，-er 表人，consumer 即消費者。,184,,5
consumption,noun,Consumption of oil increased even after it rose in price.,儘管石油的價格在上漲，但消費量還是在提高。,消費量；消耗；憔悴,using up; expenditure,production,consume 的名詞形式，表示消費、消耗。,184,,5
contemporary,adjective; noun,Her lecture is on contemporary Italian painting. She was highly praised by her contemporaries.,她的演講是關於義大利的當代畫作。她被同時代的人高度讚揚。,當代的；同時代的；同年齡的；當代人；同時代的人,coexistent; present; coeval,ancient; past,con 表共同，tempor 表時間，-ary 表形容詞或名詞，指同一時代。,184,185,5
contentious,adjective,This is a contentious film.,這是一部有爭議的電影。,爭議的；有異議的；引起爭論的,disputatious,,con 表共同，tent 表伸、拉，-ious 表形容詞，可聯想為意見互相拉扯而有爭議。,185,,5
contract,verb; noun,We contracted with an Iraqi firm for the purchase of oil. He works here on a fixed-term contract.,我們與一家伊拉克公司簽約購買石油。他按照定期合約在此工作。,訂合約；縮小；承包；承辦；合約；契約；契約書,reduce; shrink; agreement; compact,expand; increase; disagreement,con 表共同，tract 表拉，原意拉到一起，引申為合約；也可表示收縮。,185,,4
contrast,verb; noun,"In this film, the director contrasted beauty with ugliness. It is easy to perceive the contrast between her dream and the reality.",在這部電影裡，導演將美與醜做了對照比較。她的夢想和現實之間的差異很容易察覺。,使對比；使對照；形成對照；對比；對照；懸殊差別,similarity,,contra 表相反，st 表站立，意指相對而立，形成對照。,185,,5
contribution,noun,He made a contribution of $500 to the church.,他捐贈了五百元教堂。,貢獻；捐贈；投稿,donation; grant,,con 表一起，tribut 表給予，-ion 表名詞，原意把物品交給眾人，引申為貢獻、捐贈。,185,,4
controversy,noun,The judgment on the man touched off a heated controversy.,對此人的判決引起了強烈的爭議。,爭論；辯論；爭議,contention,agreement,contro 表相反，vers 表轉，-y 表名詞，引申為意見相反而爭論。,185,,5
convenient,adjective,Will it be convenient for you to come next Sunday?,你下週日來方便嗎？,方便的；合適的,available; favorable,inconvenient,con 表一起，ven 表來，-ient 表形容詞，原意事情容易湊在一起，引申為方便、合適。,185,,5
convict,verb,The man has thirdly been convicted of robbery.,這個人已三次被判搶劫罪。,證明…有罪；判決；使認罪,condemn; doom,absolve; acquit,con 表完全，vict 表征服，原意完全征服對方，引申為判定有罪。,185,186,5
convince,verb,What he had done convinced me of his kindness.,他所做的事讓我相信了他的好意。,說服；使…相信,assure; guarantee,conceal; dissuade,con 表完全，vince 表征服，原意完全征服某人的想法，引申為使相信、說服。,186,,4
copyright,verb; adjective; noun,We should first learn copyright carefully. The writer sold the copyright on the novel to a publisher.,我們首先應該仔細學習版權條例。作者將這本小說的版權賣給了一家出版商。,版權的；有版權保護的；版權；著作權,,,copy 表複製，right 表權利，合起來表示著作版權；也可作動詞表示取得版權。,186,,5
corner,verb; noun,Don't let the problem corner you. The company had a corner on the computer market.,不要讓這個難題把你難倒了。這家公司曾一度壟斷了電腦市場。,使…陷入絕境；壟斷；轉彎；角；偏僻處；困境；壟斷,bring to bay; angle; nook,,corner 原指角落，引申為把人逼到角落或壟斷市場。,186,,5
corporate profit,noun,Right now the management is focusing on corporate profits.,目前管理集中在公司獲益上。,公司獲益,,,corporate 表公司的，profit 表獲利，合起來指公司獲益。,186,,5
correct,verb; adjective,The teacher helped her correct her pronunciation. Your answer is theoretically correct.,老師幫助她矯正發音。你的答案從理論上說是正確的。,改正；懲治；正確的；恰當的,adjust; improve; accurate; right,incorrect; untruthful,cor 表完全，rect 表正直，原意完全正直，引申為正確或改正。,186,,4
corrode,verb,Criticism would not corrode her self-confidence.,批評不會損害她的信心。,腐蝕；侵蝕；損害,eat; rust,,corrode 指金屬腐蝕，也可引申為逐漸侵蝕信心等。,186,,5
cost of living,noun,"With the development of the economy, people's cost of living continues to rise.",隨著經濟的發展，人們的生活費用持續提高。,生活費用,,,cost 表花費，living 表生活，合起來即生活費用。,186,,3
