word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
component,adjective,They were arrested for smuggling the component parts of explosive devices.,他們因走私爆破裝置的零件而被逮捕。,組成的；構成的,constituent,,com- 表「一起」，pon 表「放」，-ent 為形容詞字尾，合起來可聯想放到一起，表示組成的、構成的。,41,,5
comprehend,verb,I can't comprehend this film; would you please explain it again?,我不能理解這部電影，你能不能再解釋一遍？,理解；領悟；包含,understand; realize,,com- 表「全部」，prehend 表「抓住」，合起來可聯想抓住全部意思，表示理解、領悟、包含。,41,,5
comprehensive,adjective,The professor who has a comprehensive grasp of the subject is greatly admired by his students.,那位對該學科已全面掌握的教授很受學生們的尊敬。,綜合的；全面的,all-inclusive,incomplete,comprehend（包括、理解）加 -sive 形成形容詞，表示涵蓋許多的、綜合的、全面的。,41,,3
compress,verb,He compressed his speech into 3 minutes as he was rather rushed for time today.,他因為今天趕時間，就把演講精簡為三分鐘。,壓縮；精簡,press; condense,,com- 表「加強」，press 表「壓」，合起來表示壓縮、精簡。,41,,5
compromise,verb,He told me he never compromised his principles.,他告訴我他從不妥協他的重大原則。,妥協；讓步,yield; concede,,com- 表「一起、共同」，promise 表「保證」，共同保證可聯想雙方各退一步，表示妥協、讓步。,41,,5
computerize,verb,The company plans to computerize the accounts section next month.,公司計畫於下個月將會計科電腦化。,使電腦化；用電腦處理,cybernate,,computer（電腦）加動詞字尾 -ize，形成 computerize，表示使電腦化、用電腦處理。,41,,4
computing,noun,He told me he'd like to try his hand at computing.,他告訴我他想試試他的電腦使用技能。,使用電腦；進行電腦工作,calculation; computation,,compute（用電腦計算）加 -ing 形成名詞 computing，表示使用電腦、進行電腦工作。,41,,5
concede,verb,I concede that you have tried your best.,我承認你已經盡力了。,承認；讓步；退讓,admit; confess; yield,,con- 可表「完全」，cede 表「割讓」，可聯想完全徹底讓出去，表示讓步、退讓，也可引申承認。,41,,5
conceit,noun,The conceit of the man was apparent when he tried to compare his paintings to Picasso's.,當該男子試著拿他的畫和畢卡索的畫作比較時，其自滿顯而易見。,自滿；個人意見,arrogance; boastfulness,modesty,con- 可表「完全」，ceit 可聯想「拿走」；完全拿走、只剩個人意見，可聯想自滿。,41,,5
conceive,verb,I can't conceive of ever allowing my son to wear earrings.,我無法想像讓我的兒子戴耳環。,構想；設想；想像,think; consider,,con- 表「一起」，ceive 表「抓」，合起來可聯想一起抓住靈感，表示構想、設想。,42,,3
concentrated,adjective,Don't bother her; she is concentrated on her reading.,她正聚精會神地看書，別去打擾她。,集中的；濃縮的,compressed,,concentrate（集中、濃縮）加 -d 形成形容詞 concentrated，表示集中的、濃縮的。,42,,5
conception,noun,You have no conception of what it is like to be misunderstood.,你完全不知道被誤解時的是什麼想法。,概念；想法；構想,concept; idea,,concept（概念）加名詞字尾 -ion，形成 conception，表示概念、想法、構想。,42,,4
concerned,adjective,"Where money is concerned, you should try to be very careful.",在有關錢的問題上，你應該儘量小心謹慎。,掛慮的；不安的；有關的,anxious,unconcerned,concern（關心、涉及、關係到）加 -ed 形成 concerned，表示掛慮的、不安的、有關的。,42,,5
concession,noun,"If both of you can make some concession, the matter will be settled.",若你們雙方都能做出一些讓步，這個問題就會解決。,讓步；妥協；特許,conceding; yielding; permit,,concede（讓步、容許）去 e 加 -ssion 形成名詞 concession，表示讓步、妥協。,42,,4
concise,adjective,The principal told the teachers that the teaching material should be concise.,該校長告訴老師說，教材應該精簡。,簡潔的；精簡的,brief; compact,diffuse; wordy,con- 表「完全」，cise 表「切掉」，合起來可聯想把多餘的東西全部切掉，表示簡潔、精簡。,42,,4
condemn,verb,The judge condemned the murderer to 30 years in jail.,法官判處殺人犯三十年徒刑。,譴責；宣告有罪；判刑,blame; damn,forgive,con- 可表示「一再」，demn 可聯想 damn（詛咒），可聯想一再詛咒，表示譴責。,42,,4
condemnation,noun,Her total disregard for the feelings of her family was her condemnation.,完全忽視家人的感受是她受譴責的原因。,定罪；譴責的理由,criticism,,condemn（譴責、宣告有罪、判刑）加 -ation 形成名詞 condemnation，表示定罪、譴責的理由。,42,,3
condense,verb,"He was asked to condense his report from 5,000 words to 2,000.",他被要求把報告從五千字縮短到二千字。,濃縮；縮短；減縮,concentrate,expand,con- 表「一起、集中」，dense 表「密集」，合起來可聯想集中變密，表示濃縮、縮短、減縮。,42,,5
confederation,noun,I am sure for mutual benefit more and more organizations will join the confederation.,我相信越來越多的機構會因共同利益而加入此聯盟。,同盟；聯盟；結盟,alliance; association,,con- 表「共同」，feder 表「聯盟」，-tion 是名詞字尾，合起來表示同盟、聯盟、結盟。,43,,4
confession,noun,My grandma is a good Christian and goes to confession every Wednesday.,我奶奶是個虔誠的基督徒，她每週三都去懺悔。,承認；供認；懺悔,acknowledgment; concession,,con- 可表示「全部」，fess 表「說」，-ion 是名詞字尾，可聯想全部說出來，表示承認、供認、懺悔。,43,,5
confidential,adjective,Don't be too confidential with him; he sometimes tells lies.,不要過分信任他，因為他有時會撒謊。,秘密的；機密的；信任的,classified; secret,open,confident 表「確信的」，-ial 是形容詞字尾，可聯想總統「確信」這個「機密」是真的。,43,,3
confined,adjective,"Working in a dark and confined room, they found it difficult to be more efficient.",他們發現在黑暗、狹窄的房間裡工作很難更有效率。,幽禁的；監禁的；狹窄的,captive; jailed,liberated,con- 表「加強」，fin 表「限制」，合起來是加強限制，引申為幽禁的、監禁的、狹窄的。,43,,5
conform,verb,The buildings that do not conform to safety regulations ought to be demolished.,這些不符合安全規定的建築物應被拆除。,使遵照；使符合；使一致,abide; agree,defy; disobey,con- 表「共同」，form 表「形式」，可聯想共同形成相同形式，因此表示符合、一致、遵從。,43,,4
confusing,adjective,His writing is more confusing than enlightening.,他寫作令人感到困惑甚於啟發。,令人困惑的,perplexing; puzzling,intelligible,con- 表「一起」，fus 表「倒、灌」，可聯想所有東西倒在一起，形成令人困惑的狀態。,43,,5
congressman,noun,He's the only congressman who voted against the bill.,他是唯一對該法案投反對票的國會議員。,國會議員,representative,,congress 表「國會」，man 表「人」，合起來就是國會議員。,43,,5
connected,adjective,"People say if you want to be successful, you have to be well-connected.",人們說，若你要成功，人際關係必須要好。,有關連的；連貫的,affiliated; associated,unrelated,con- 表「一起、共同」，nect 表「繫」，可聯想把東西繫在一起，因此表示有關連的、連貫的。,43,,4
conquest,noun,The model is one of his many conquests.,該模特兒是他其中一個戰利品。,征服；掠奪物；戰利品,triumph,defeat; failure,con- 表「加強」，quest 表「尋求」，可聯想加強追求並取得成果，引申為征服、戰利品。,43,,3
consciousness,noun,He regained consciousness an hour after the operation.,他在手術一小時之後恢復意識。,有知覺；意識；感覺,feeling; perception,insensibility,conscious 表示有意識的、意識到的，加 -ness 成為名詞 consciousness，表示意識。,44,,5
consent,noun,Do you need your parents' consent to get married?,你結婚需要父母的同意嗎？,同意；贊成；答應,accept; agree,disagree,con- 表「共同」，sent 表「感覺」，可聯想有相同感覺，因此表示同意、贊成。,44,,5
conservation,noun,"Having watched the program, he came to realize the need for conservation of natural resources.",看完這個節目，他意識到保護自然資源的必要性。,保存；保護,preservation,breakage,conserve（保存）去 e 加 -ation 形成名詞 conservation，表示保存、保護。,44,,5
conserve,verb,The spokesman says the government must do more to conserve water.,該發言人說政府應該做更多事來保護水資源。,保存；保護；節省,preserve; keep,destroy,con- 可表「全部」，serve 表「保持」，可聯想全部都保持住，因此有保存、保護之意。,44,,3
considering,preposition,"Considering your experience, we will send someone to assist you.",我們考慮到你的經驗，就派人幫助你。,考慮到；就……來說,in view of,regardless of,consider（考慮）加 -ing 形成介系詞 considering，表示考慮到、就……來說。,44,,5
console,verb,Nothing could console him after he was dismissed.,他被解雇後，什麼事也不能安慰他。,安慰；撫慰；慰問,comfort; solace,afflict; torment,con- 可表「加強」，sole 可聯想「單獨的」，孤單的人需要安慰、撫慰。,44,,5
constituent,adjective,Hard work and patience are essential constituents of success.,努力工作和耐心是成功的關鍵構成因素。,組成的；構成的,component; integral,,con- 表「一起」，stitut 表「放、置」，-ent 是形容詞字尾，合起來表示放在一起、構成的。,44,,3
constrain,verb,The artist felt constrained to paint what his sponsor asked.,這個藝術家對於贊助商要求畫的東西感到受限制。,強迫；限制；壓迫,restrain; compel,liberate,con- 表「加強」，strain 有「拉緊」之意，合起來可聯想過分拉緊，因此表示強迫、限制、壓迫。,44,,4
constraint,noun,The old man was unaware of a certain constraint on their part when they were in his presence.,老人沒有覺察到他在時他們有些拘束。,約束；強制；拘束,confinement; repression,,con- 表「加強」，strain 表「拉緊」，可聯想拉得太緊，因此表示約束、強制、拘束。,44,,5
consuming,adjective,His interest in playing the piano is all-consuming.,他對彈鋼琴的興趣非常強烈。,消費的；消耗的；強烈的,,,con- 可表「全部」，sum 表「拿走」，合起來可聯想全部拿走，引申為消費的、消耗的、強烈的。,45,,5
consumption,noun,The water which is for their consumption on the trip is not enough.,供他們旅途中喝的水不夠。,消耗；用盡；憔悴,expenditure,production,consume（消耗、花費）去 e 加 -ption 形成名詞 consumption，表示消耗、用盡。,45,,4
contemplate,verb,She contemplated what the future would be like without a husband.,她沉思著要是沒有丈夫，將來的生活會如何。,沉思；仔細考慮；注視,muse; ponder,,con- 可表示「加強」，templ 可聯想 temple（廟），-ate 為動詞字尾，可聯想在廟裡沉思、祈禱。,45,,5
contempt,noun,I feel nothing but contempt for students who cheat in exams.,我鄙視考試作弊的學生。,輕視；鄙視；丟臉,disdain; disrespect,honor,con- 表「一起」，tempt 表「嘗試」，可聯想大家都能嘗試，因此不是了不起的事情，引申為輕視、鄙視。,45,,3
