word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
inhibit,verb,I couldn't inhibit my anger.,我無法抑制我的憤怒。,禁止；抑制,ban; restrict; restrain,,inhibit 表抑制、限制或阻止。,211,,5
initiate,verb,He wants to initiate new business methods.,他想開始實行新的營業方法。,創始；開始,start; begin,,initiate 表開始、發起。,211,,4
innuendo,noun,He is subjected to a campaign of innuendo in the press again.,他再一次受到新聞界指桑罵槐的影射。,影射；諷刺,hint; implication,,innuendo 指含沙射影、暗諷；複數可作 innuendos。,211,,4
insinuate,verb,He has insinuated his doubt of our abilities.,他已經暗示了他對我們能力的懷疑。,暗指；暗示,allude; hint,,"insinuate 表含蓄暗示；動詞三態為 insinuate, insinuated, insinuated。",211,,5
inspire,verb,It inspired us to work harder.,這件事激勵了我們更加努力地工作。,鼓舞；賦予…靈感；引起,encourage; motivate,,inspire 表鼓舞、激發靈感。,211,,5
insulate,verb,Pay rises insulated them against inflationary price increases.,加薪使他們免受通貨膨脹物價上漲的影響。,隔絕；使隔離,isolate; separate,,insulate against 表使免受某種影響。,211,,5
insure,verb,You should insure your life against accidents.,你該替自己投保人壽保險以防事故。,給…保險；保證；確保,guarantee; warrant,,"insure 表投保、保證；動詞三態為 insure, insured, insured。",211,,5
intend,verb,He intends that you shall take over the business.,他有意讓你來接管公司。,想要；打算；計畫,mean; plan,disorder,intend 表打算、計畫；常接 to do 或 that 子句。,211,,5
interdependence,noun,Your interdependence is very important.,你們之間的互相依賴是很重要的。,互相依賴,,,inter 表相互，dependence 表依賴，合起來即相互依賴。,211,,4
interest rate,noun,One of the major banks has lowered its interest rate.,有一家大銀行已降低了利率。,利率,,,interest 表利息，rate 表比率，合起來即利率。,212,,3
interrogation,noun,The interrogation of all the witnesses lasted two hours.,對全部證人的訊問持續了兩個小時。,訊問；審問；質問,examination; inquiry,,interrogation 指正式訊問、審問；複數為 interrogations。,212,,5
interview,noun,"You must remember not to be late for your interview, or you won't get the job.",你必須記住，面試不要遲到，否則你就得不到該工作了。,面談；面試,audience; congress,monolog,inter 表相互，view 表看，原意為相互見面，引申為面談、面試。,212,,5
