word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
multinational,adjective,In the past few years they have been dealing with quite a few multinational corporations successfully.,在過去的幾年中，他們成功地與數家跨國公司做生意。,多國的；跨國公司的,,,字首 multi- 表「多」，national 表「國家的」，合起來表示「多國的；跨國公司的」。,101,,5
mumble,verb,"“I don’t like him,” she mumbled.",她咕噥著說：「我不喜歡他。」,含糊地說；咕噥,whisper; mutter,,可與形似字 number（數字）聯想：他容易失眠，因此在入睡前喜歡 mumble 著 number。,101,,5
muscular,adjective,He has a muscular physique.,他有一副健壯的體格。,肌肉的；健壯的,strong; energetic,,由名詞 muscle（肌肉）去掉 e 加上 -ular 形成形容詞，表示「肌肉的；健壯的」。,101,,5
muse,verb,He muses on his past life.,他沉思著過去的生活。,沉思；冥想,meditate; contemplate,,源自希臘神話中的繆斯女神 Muse；由於她職司文藝、音樂、美術等需要思考後的創作，因此有「沉思」之意。,101,,5
mutter,verb,She muttered that she would not agree with him.,她喃喃地抱怨說不同意他。,喃咕；抱怨,whisper; mumble,,mutter 與 butter（奶油）的拼類接近，可一起聯想：她抱怨了品質不好的 butter，喃喃地說個不停。,101,,3
mutton,noun,People in that small town like to have roast mutton in winter.,那個小鎮的人喜歡在冬天吃烤羊肉。,羊肉,,,可與形似字 button（鈕扣；按鈕）聯想：那個喜歡吃 mutton 的人在一旁製作 button 的工廠上班。,101,,5
myth,noun,I don’t believe the myth that racial discrimination was imposed by God.,我們不相信種族歧視是上帝加諸於人的神話。,神話；沒有事實根據的觀點,legend,reality,由 mystery（神祕）簡化而來，聯想為「神話；沒有事實根據的觀點」。,101,,5
naive,adjective,You are so naive as to believe such a lie!,你竟然天真得連這種謊言都相信！,天真的；幼稚的；輕信的,childlike,sophisticated,可與形似字 native（本土的）聯想：那群 native 的民族很 naive 地認為外來民族會尊敬他們。,101,,4
narrate,verb,Could you narrate an adventure of yours?,敘述一下你的冒險經歷好嗎？,描述；敘述,tell,,可與形似字 narrow（狹窄的）聯想：那個 narrate 歷史的人有些觀點非常 narrow。,101,,5
narrative,adjective,He is a writer of great narrative skill.,他是個敘事能力極強的作家。,敘事的；敘事體的,,,由動詞 narrate（描述；敘述）去掉 e 加上 -ive 形成形容詞，表示「敘事的；敘事體的」。,101,,5
narrator,noun,They listened silently and waited for the narrator to explain more.,他們靜靜地聽著，等待講述者進一步解釋。,講述者；敘述者,,,由動詞 narrate（描述；敘述）去掉 e 加上名詞字尾 -or，表示「講述者；敘述者」。,102,,5
nationalism,noun,Nationalism is often considered to be a silly cock crowing on its own dunghill.,民族主義常被認為是在自己的小天地裡自鳴得意的笨公雞。,民族主義；國家主義,,,national 表「國家的；民族的」，-ism 是名詞字尾，表示「……主義」，合起來表示「民族主義；國家主義」。,102,,4
nationalist,noun,I believe that true nationalists should place their national interest above everything.,我認為真正的國家主義者應把國家利益置於一切之上。,國家主義者；民族主義者,patriot,,national 表「國家的；民族的」，-ist 是名詞字尾，表示「……者」，合起來表示「國家主義者；民族主義者」。,102,,5
